"sample_sizes","h_ups"
1024,0.793643348745576
2048,0.76000098085079
4096,0.741470122069063
8192,0.729999204342781
16384,0.721170406456057
32768,0.715916610391586
65536,0.711325258952554
131072,0.709135180523287
