"utilizations","stat_up","stat_mean","stat_low","snc_bound","simulated_backlog"
0.65,22.9116592407227,15.2230110168457,11.2693672180176,8.42987442016602,4.20966687976386
0.7,30.3940963745117,19.9453353881836,14.0288200378418,10.0653495788574,4.72298282396168
0.75,38.0189361572266,24.9943618774414,17.3199234008789,11.9639778137207,5.36521568151973
0.8,47.7129669189453,31.4073104858398,20.7838516235352,14.1374015808105,6.44428847149525
0.85,56.5130767822266,38.2219085693359,25.8451461791992,16.5971755981445,5.75278509491892
0.9,67.1000061035156,45.6659393310547,30.6787338256836,19.3532485961914,9.5837010911732
0.95,75.7749938964844,52.7598419189453,35.4585418701172,22.4101791381836,7.85630119994071
